model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM1 186 5.74 6038396.13 4276959297.60 221873044.60
GM1 192 6.01 7907555.23 4594523418.16 257244801.88
GM1 256 8.02 17862779.92 6066619077.93 491699845.99
GM1 273 8.65 22063604.54 6669990907.00 592169418.86
GM1 320 12.57 60440435.73 14821375522.33 1459565846.49
GM1 384 16.14 123460439.25 21492939945.24 2493243339.54
GM1 448 18.95 211994779.38 25257791336.70 3308358871.79
GM1 454 19.24 218880027.16 25759599865.94 3346912776.00
GM1 512 22.61 297131619.85 32837703581.92 4294333011.43
GM1 576 29.66 526256672.11 57816267367.56 8356412089.88
GM1 640 34.90 1008651174.32 76442833507.46 10544989567.06
GM1 704 38.33 1397228287.43 83803740947.03 11123498723.16
GM1 832 42.83 1998453112.67 82729458719.36 11203984298.07
GM1 896 45.51 2303848619.55 84804354020.59 11956081836.70
GM1 960 46.16 2619090147.37 76201084244.52 10948400528.11
GM1 972 45.92 2706588567.18 72917013487.83 10507550376.82
GM1 1024 60.87 4184746709.58 154090264969.53 22054417613.33
GM1 1088 76.84 5750831452.38 274104326286.95 40202315178.47
GM1 1152 81.82 6759687380.80 295390706511.29 41534701745.88
GM1 1216 86.75 7210101976.66 313755782919.81 45238693244.66
GM1 1280 93.45 8548746885.90 352016394532.61 50984699965.14
GM1 1344 100.33 9542977363.45 393301303730.25 57473443542.51
GM1 1408 105.46 10545325837.57 414595694581.22 59727724345.09
GM1 1472 112.74 12527814806.32 458833664006.90 67499243455.21
GM1 1536 118.85 13403859246.35 491140091404.82 71962122582.66
GM1 1600 124.42 14518709657.03 517303512678.29 74895894761.60
GM1 1664 129.14 15932210458.29 531386480099.86 77024957252.54
GM1 1728 133.38 16521553527.09 537770949393.51 79242908794.58
GM1 1739 134.16 16610279170.65 540215763981.65 79853594369.47
GM1 1792 138.34 17189774721.88 553889903357.87 82196672122.68
GM1 1856 142.53 18193508962.15 560278807102.73 83347264527.63
GM1 1920 146.14 19853253236.40 559246723711.13 83359583965.41
GM1 1984 150.04 22481333331.59 562712750125.34 82269149926.13
GM1 2048 154.15 23983558728.25 567972727726.54 82299152065.35
GM1 2112 158.24 24095147792.91 573186358131.77 83726471844.14
GM1 2176 163.59 24063456926.33 590060742775.85 89305819230.47
GM1 2240 171.99 25159085495.10 640649136311.11 99349933967.96
GM1 2304 177.62 25630762735.40 662852018022.02 101528513018.69
GM1 2368 183.29 26598497623.07 687129079799.22 102842823387.68
GM1 2432 188.54 27976448002.67 703805916672.85 102389652400.29
GM1 2496 192.92 29593230171.82 710413825223.33 101643774325.56
GM1 2554 197.07 31087711152.83 717741402733.35 101888593601.21
GM1 2560 197.62 31258991086.71 718888924974.16 101957803202.83
GM1 2624 202.41 31929396188.45 732341770790.28 100765792062.35
GM1 2688 207.05 31934326062.59 739607838132.83 102918222503.70
GM1 2752 211.43 32156833269.25 742930531552.11 104434423010.60
GM1 2816 215.53 32649463891.59 744672127573.28 104475083825.28
GM1 2880 219.36 33428215850.49 742792205198.73 102985457829.76
GM1 2944 222.80 34387036860.12 739910954516.31 99639485691.42
GM1 3008 226.81 35441224985.89 741036876675.04 97355367477.07
GM1 3136 235.62 37904523217.16 747767805560.49 95717746162.65
GM1 3200 241.13 39430678214.74 762497058875.33 95919178448.80
GM1 3264 247.37 41124270907.39 782929735184.84 97162419839.64
GM1 3328 253.59 42925686579.75 803336090864.55 98784872760.58
GM1 3392 259.11 44784051950.67 815114000515.42 99116710584.54
GM1 3456 264.49 46808131579.36 825397070049.55 99067560911.54
GM1 3520 269.86 48857614944.35 835989406983.91 98927435551.00
GM1 3584 275.62 51090556109.10 848727876575.82 98781040023.56
GM1 3648 282.15 53331251700.66 868044930103.47 99059924327.20
GM1 3712 287.78 55369856874.98 878460031927.34 99222436262.04
GM1 3776 293.21 57226994424.31 886702251323.15 99443299248.57
GM1 3840 298.59 58942866165.18 893535315695.99 99752727893.66
GM1 3904 304.13 60526032823.42 901809434550.75 100158658126.79
GM1 3968 309.42 61968963066.56 905718906358.45 100581118255.80
GM1 4032 314.27 63373825138.16 906066081187.47 100890278032.34
