model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM1noBHs 1664 129.44 43742115509.25 526559648513.21 58205078589.43
GM1noBHs 1739 134.56 45482004258.64 537582270530.85 59068630439.11
GM1noBHs 1792 138.18 46475490483.85 544975220477.84 59400342784.72
GM1noBHs 1920 146.18 50408450225.91 553987604391.34 58931463913.10
GM1noBHs 2048 154.59 53652806648.50 566171624194.50 59518581711.39
GM1noBHs 2176 163.45 55032832180.40 584279359220.06 62656008369.55
GM1noBHs 2304 177.94 58713683851.71 661978716690.67 74418568345.59
GM1noBHs 2432 188.88 60292603146.59 699551844880.35 79273320671.35
GM1noBHs 2554 197.83 62872165037.68 715929427636.83 81228031278.87
GM1noBHs 2560 198.35 62947098085.77 717516819098.59 81407907550.65
GM1noBHs 2688 207.85 64467320394.24 736710280103.68 83440810976.21
GM1noBHs 2816 216.41 65739121967.13 743137806511.84 82712028699.24
GM1noBHs 2944 224.09 67094552129.35 740562676197.82 81438162893.41
GM1noBHs 3072 232.81 68680100793.63 745940667492.44 80994744793.69
GM1noBHs 3195 242.36 70322071219.10 763663749400.89 81672876654.02
GM1noBHs 3200 242.75 70384122422.86 764559509095.72 81724080254.23
GM1noBHs 3328 254.77 72170937809.88 800401626734.91 85437287523.40
GM1noBHs 3456 265.69 73882844171.87 823961022209.17 87133965931.02
GM1noBHs 3584 276.58 75645829684.79 844261952322.75 88143632049.03
GM1noBHs 3712 288.39 77806785703.56 872729286974.55 90059676804.79
GM1noBHs 3840 299.42 79793059789.99 888859255545.18 91551271852.85
