model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM1noBHs 5.62 1.06 0.97 1.53 1132634.51 0.76 73.35 28.67
GM1noBHs 5.87 1.00 0.84 1.59 1066352.54 0.73 75.74 -48.89
GM1noBHs 6.05 0.96 1.69 1.42 3392183.58 0.82 70.06 -24.29
GM1noBHs 6.48 0.86 0.26 1.27 2799373.03 0.89 63.61 13.73
GM1noBHs 6.91 0.77 0.26 1.27 1855586.89 0.92 63.94 -26.27
GM1noBHs 7.34 0.70 0.45 1.17 2668450.92 0.98 60.22 -47.53
GM1noBHs 7.77 0.62 1.01 0.90 3178875.02 1.05 48.19 -56.79
GM1noBHs 8.20 0.56 0.72 0.59 7805953.44 1.00 36.09 -100.69
GM1noBHs 8.61 0.50 3.00 0.94 4849232.64 1.01 51.41 8.99
GM1noBHs 8.63 0.50 0.15 1.05 4706299.45 0.98 56.60 37.91
GM1noBHs 9.92 0.34 0.47 1.68 2702781.45 0.84 83.96 -84.83
GM1noBHs 11.22 0.21 0.82 1.83 865619.25 0.72 93.71 -118.34
GM1noBHs 11.65 0.17 0.55 1.58 1206886.49 0.84 83.51 -137.35
GM1noBHs 12.08 0.13 0.41 1.29 4388151.92 0.85 71.96 -194.50
