model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM2SI1 3952 13.32 0.03 1 2694 8020224818.54 5012015614.37
GM2SI1 3936 13.26 0.04 1 2632 7735392795.97 4896482529.18
GM2SI1 3920 13.21 0.04 1 2548 7748109897.43 4968073862.75
GM2SI1 3904 13.15 0.05 1 2601 7938362284.51 5163974380.07
GM2SI1 3888 13.10 0.05 1 2660 8259252594.71 5439053326.53
GM2SI1 3872 13.05 0.05 1 2736 8704545877.47 5828328260.20
GM2SI1 3856 12.99 0.06 1 2881 9006890056.03 6145857236.89
GM2SI1 3840 12.94 0.06 1 3036 9090562303.54 6264134529.99
GM2SI1 3824 12.89 0.07 1 3061 9390009666.85 6632558169.63
GM2SI1 3808 12.83 0.07 1 3122 9588921571.29 6947934371.25
GM2SI1 3792 12.78 0.07 1 3185 9892699626.46 7418800409.50
GM2SI1 3776 12.72 0.08 1 3111 10069319302.23 7804829217.83
GM2SI1 3760 12.67 0.08 1 3018 10228804134.22 8098004074.98
GM2SI1 3744 12.62 0.09 1 2990 10298581285.16 8279743790.37
GM2SI1 3728 12.56 0.09 1 2867 10343373827.51 8476696114.78
GM2SI1 3712 12.51 0.10 1 2664 10329402809.76 8591284911.71
GM2SI1 3696 12.45 0.10 1 2483 10373022957.59 8806757593.73
GM2SI1 3680 12.40 0.10 1 2350 10219081521.65 8791675933.76
GM2SI1 3664 12.35 0.11 1 2164 10164964161.14 8863295812.06
GM2SI1 3648 12.29 0.11 1 2117 10244751698.87 9032934237.19
GM2SI1 3632 12.24 0.12 1 2071 10174740087.36 9058175274.10
GM2SI1 3616 12.19 0.12 1 2003 10193139589.16 9133100580.63
GM2SI1 3600 12.13 0.13 1 1987 10156317782.86 9147174290.12
GM2SI1 3584 12.08 0.13 1 1991 10021620084.73 9056344293.58
GM2SI1 3568 12.02 0.14 1 1962 9852112945.14 8954100604.90
GM2SI1 3552 11.97 0.14 1 1872 10103843824.69 9294970621.01
GM2SI1 3536 11.92 0.14 1 1828 9832803309.27 9037335472.52
GM2SI1 3520 11.86 0.15 1 1842 9745320704.29 8977630700.61
GM2SI1 3504 11.81 0.15 1 1825 9790738817.49 9019568156.06
GM2SI1 3488 11.75 0.16 1 1840 9775246144.37 9023332300.04
GM2SI1 3472 11.70 0.16 1 1830 9762523060.63 9024647857.06
GM2SI1 3456 11.65 0.17 1 1808 9793821619.56 9034431599.10
GM2SI1 3440 11.59 0.17 1 1825 10146999488.08 9371725031.68
GM2SI1 3424 11.54 0.18 1 1861 10432612305.19 9642630844.91
GM2SI1 3408 11.49 0.18 1 1889 10499138720.56 9684225027.39
GM2SI1 3392 11.43 0.19 1 1953 10637810327.83 9800429704.78
GM2SI1 3376 11.38 0.19 1 2033 10376020292.07 9443340976.31
GM2SI1 3360 11.32 0.20 1 2186 10380507276.85 9362172478.59
GM2SI1 3344 11.27 0.20 1 2338 10368125264.77 9288562246.29
GM2SI1 3328 11.22 0.21 1 2339 10359448224.81 9240146142.52
GM2SI1 3312 11.16 0.21 1 2400 10506936052.61 9316183982.71
GM2SI1 3296 11.11 0.22 1 2445 10508375379.78 9293404542.51
GM2SI1 3280 11.05 0.22 1 2417 10486760748.05 9211043244.83
GM2SI1 3264 11.00 0.23 1 2474 10479178476.28 9162351789.41
GM2SI1 3248 10.95 0.23 1 2533 10552616580.48 9163275375.54
GM2SI1 3232 10.89 0.24 1 2561 10705762022.93 9218366300.88
GM2SI1 3216 10.84 0.24 1 2618 10901428134.66 9361928000.80
GM2SI1 3200 10.79 0.25 1 2679 10894568964.98 9345817678.28
GM2SI1 3195 10.77 0.25 1 2687 10891468968.04 9335096676.36
GM2SI1 3184 10.73 0.25 1 2722 10945645818.44 9392028565.13
GM2SI1 3168 10.68 0.26 1 2729 10799020328.51 9247779313.32
GM2SI1 3152 10.62 0.26 1 2663 10548344310.86 9047801013.43
GM2SI1 3136 10.57 0.27 1 2509 10025135391.07 8674780568.32
GM2SI1 3120 10.52 0.28 1 2213 8820553059.11 7598319606.70
GM2SI1 3104 10.46 0.28 1 1892 6255964111.81 5219328250.08
GM2SI1 3088 10.41 0.29 1 1572 4344672041.62 3417822143.43
GM2SI1 3072 10.35 0.29 1 1283 3190086362.39 2381749245.07
