model output time z halo Nclumps
GM2 3712 12.51 0.10 1 1499
GM2 3584 12.08 0.13 1 910
GM2 3456 11.65 0.17 1 925
GM2 3328 11.22 0.21 1 1214
GM2 3200 10.79 0.25 1 1396
GM2 3195 10.77 0.25 1 1393
GM2 3072 10.35 0.29 1 225
GM2 2944 9.92 0.34 1 211
GM2 2816 9.49 0.39 1 325
GM2 2688 9.06 0.44 1 521
GM2 2560 8.63 0.50 1 859
GM2 2554 8.61 0.50 1 872
GM2 2432 8.20 0.56 1 962
GM2 2304 7.77 0.62 1 1428
GM2 2176 7.34 0.70 1 1475
GM2 2048 6.91 0.77 1 1731
GM2 1920 6.48 0.86 1 2195
GM2 1792 6.05 0.96 1 2089
GM2 1739 5.87 1.00 1 2136
GM2 1664 5.62 1.06 1 2846
GM2 1536 5.19 1.18 1 4092
GM2 1408 4.76 1.32 1 3144
GM2 1280 4.32 1.48 1 2815
GM2 1152 3.89 1.67 1 2443
GM2 1024 3.46 1.90 1 2821
GM2 972 3.29 2.00 1 1524
GM2 896 3.03 2.17 2 1283
GM2 768 2.60 2.52 1 1147
GM2 640 2.17 2.98 1 840
GM2 635 2.15 3.00 1 814
GM2 512 1.74 3.61 1 553
GM2 454 1.55 4.00 2 261
GM2 384 1.31 4.58 2 34
