model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
GM2noBHs 1.18 4.99 0.23 0.32 874962.83 0.82 15.26 -65.77
GM2noBHs 1.31 4.58 0.96 0.35 840959.11 0.69 15.91 -16.22
GM2noBHs 1.55 4.00 0.58 0.42 973574.43 0.61 17.23 -28.85
GM2noBHs 1.74 3.61 0.36 0.47 892362.08 0.67 18.43 -49.73
GM2noBHs 2.15 3.00 0.29 0.58 1144060.34 0.69 21.66 -72.72
GM2noBHs 2.17 2.98 0.31 0.59 1685468.50 0.66 21.63 -69.25
GM2noBHs 2.60 2.52 0.35 0.71 2989883.49 0.85 26.48 -74.37
GM2noBHs 3.03 2.17 0.38 0.82 2142041.95 0.83 30.85 -78.93
GM2noBHs 3.29 2.00 0.53 0.90 3673899.20 0.90 36.70 -68.07
GM2noBHs 3.89 1.67 1.06 1.07 3169738.41 0.99 30.95 -28.43
GM2noBHs 4.32 1.48 0.41 1.19 2714479.68 0.93 40.57 -96.77
GM2noBHs 4.76 1.32 1.22 1.31 2364862.90 0.88 51.05 -40.85
GM2noBHs 5.19 1.18 2.04 1.44 1505175.74 0.77 73.04 -34.95
GM2noBHs 5.62 1.06 11.25 1.57 2001994.96 0.78 74.25 6.46
GM2noBHs 5.87 1.00 21.96 1.65 1231461.44 0.76 73.92 -3.29
GM2noBHs 6.05 0.96 15.11 1.70 1462849.18 0.82 67.83 -4.39
GM2noBHs 6.48 0.86 0.74 1.83 2857228.40 0.92 51.38 -68.04
GM2noBHs 6.91 0.77 0.53 1.97 2110386.66 0.93 41.48 -76.38
GM2noBHs 7.34 0.70 0.47 2.11 1700159.98 0.78 47.38 -98.84
GM2noBHs 7.77 0.62 0.39 2.25 1716510.92 0.83 41.84 -104.09
GM2noBHs 8.61 0.50 2.21 2.53 1435257.24 0.80 50.38 -22.32
GM2noBHs 9.06 0.44 1.14 2.69 1144503.05 0.69 63.18 -54.04
GM2noBHs 9.92 0.34 1.43 3.01 2188422.08 0.68 149.27 -102.16
GM2noBHs 10.35 0.29 1.09 3.17 817374.52 0.60 74.63 -66.98
GM2noBHs 10.79 0.25 1.26 3.34 6296003.64 0.79 126.80 -98.19
GM2noBHs 11.22 0.21 1.25 3.51 6617410.89 0.85 96.48 -75.72
GM2noBHs 11.65 0.17 3.69 3.69 6962845.40 0.96 66.86 17.73
