model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM2noBHs 3712 12.51 0.10 1 2493 7452145538.65 5526781750.40
GM2noBHs 3584 12.08 0.13 1 1901 7830679943.45 6728931365.46
GM2noBHs 3456 11.65 0.17 1 1349 7505392193.16 7006233104.69
GM2noBHs 3328 11.22 0.21 1 1448 8946807898.67 8368645636.70
GM2noBHs 3200 10.79 0.25 1 1783 10483250750.32 9466001230.31
GM2noBHs 3195 10.77 0.25 1 1832 10548485801.87 9508125295.23
GM2noBHs 3072 10.35 0.29 1 1307 4671901820.43 3731269250.82
GM2noBHs 2944 9.92 0.34 1 503 1621869389.70 990348079.71
GM2noBHs 2816 9.49 0.39 1 272 551640917.83 292191703.90
GM2noBHs 2688 9.06 0.44 1 413 789162256.07 464822366.66
GM2noBHs 2560 8.63 0.50 1 621 1076684165.65 747332670.00
GM2noBHs 2560 8.63 0.50 1 621 1076684165.65 747332670.00
GM2noBHs 2554 8.61 0.50 1 627 1098297101.28 776727849.76
GM2noBHs 2554 8.61 0.50 1 627 1098297101.28 776727849.76
GM2noBHs 2432 8.20 0.56 1 497 1323038054.83 1157061268.23
GM2noBHs 2432 8.20 0.56 1 497 1323038054.83 1157061268.23
GM2noBHs 2304 7.77 0.62 1 691 1882734234.24 1645012282.67
GM2noBHs 2304 7.77 0.62 1 691 1882734234.24 1645012282.67
GM2noBHs 2176 7.34 0.70 1 930 2413159953.94 1511545907.98
GM2noBHs 2176 7.34 0.70 1 930 2413159953.94 1511545907.98
GM2noBHs 2048 6.91 0.77 1 640 1486770326.22 1175728616.54
GM2noBHs 1920 6.48 0.86 1 1042 3093817563.15 2691584040.67
GM2noBHs 1792 6.05 0.96 1 1682 6059210324.62 5202221698.12
GM2noBHs 1739 5.87 1.00 1 1962 6588961579.70 5570786797.26
GM2noBHs 1024 3.46 1.90 1 1840 5440715001.69 4544123677.25
GM2noBHs 1664 5.62 1.06 1 1948 7225068724.77 6284988882.68
GM2noBHs 1536 5.19 1.18 1 2708 10757375003.33 9684374392.61
