model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
GM3SI1 1024 70.13 4904388266.72 233266581711.13 37689668666.32
GM3SI1 1152 83.71 7543076605.64 313204909303.35 47028656744.86
GM3SI1 1280 97.16 12738720416.53 391956090671.52 58071886960.40
GM3SI1 1664 128.85 35140060067.04 519791241336.78 64489967361.75
GM3SI1 1739 132.50 37009065721.85 519251525378.61 56474230445.90
GM3SI1 1792 135.54 36822504073.28 522636301154.43 55006099438.76
GM3SI1 1920 141.89 36477712548.44 516457533304.69 53580694055.26
GM3SI1 2048 148.92 35950828030.63 518694357698.50 52765200028.04
GM3SI1 2176 158.15 35609704081.00 544219360651.99 56094030570.62
GM3SI1 2560 182.15 34766695768.45 570725093151.04 62672340526.22
GM3SI1 2688 192.19 34660936989.85 597323806133.47 66800738213.91
GM3SI1 3072 219.79 34449220478.98 642103780248.63 77336966945.71
GM3SI1 3195 228.18 34349568498.62 649695422338.13 80187015785.20
GM3SI1 3200 228.57 34345855288.28 649775099462.06 80270798438.25
GM3SI1 3328 236.84 34253008190.50 653785848475.75 81903988097.76
GM3SI1 3456 245.15 34189340201.30 656709154947.10 82836441110.56
GM3SI1 3584 253.24 34284877679.99 657109613565.52 83461360501.67
GM3SI1 3968 289.10 37633990470.22 740900548253.20 93589114472.63
