model output time z halo
GM3 3712 12.51 0.10 1
GM3 3584 12.08 0.13 1
GM3 3456 11.65 0.17 1
GM3 3328 11.22 0.21 1
GM3 3200 10.79 0.25 1
GM3 3195 10.77 0.25 1
GM3 3072 10.35 0.29 1
GM3 2944 9.92 0.34 1
GM3 2816 9.49 0.39 1
GM3 2688 9.06 0.44 1
GM3 2560 8.63 0.50 1
GM3 2554 8.61 0.50 1
GM3 2432 8.20 0.56 1
GM3 2304 7.77 0.62 1
GM3 2176 7.34 0.70 1
GM3 2048 6.91 0.77 1
GM3 1920 6.48 0.86 1
GM3 1792 6.05 0.96 1
GM3 1739 5.87 1.00 1
GM3 1664 5.62 1.06 1
GM3 1536 5.19 1.18 1
GM3 1408 4.76 1.32 1
GM3 1280 4.32 1.48 1
GM3 1152 3.89 1.67 1
GM3 1024 3.46 1.90 1
GM3 972 3.29 2.00 1
GM3 896 3.03 2.17 2
GM3 768 2.60 2.52 1
GM3 640 2.17 2.98 1
GM3 635 2.15 3.00 1
GM3 512 1.74 3.61 1
GM3 454 1.55 4.00 2
GM3 384 1.31 4.58 2
GM3 345 1.18 4.99 2
GM3 273 0.94 5.99 2
GM3 256 0.88 6.29 2
GM3 223 0.77 6.98 2
GM3 186 0.64 7.98 2
