model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
GM3 3712 12.51 0.10 1 373 657236470.29 419104036.17
GM3 3584 12.08 0.13 1 305 657333010.12 379648428.90
GM3 3456 11.65 0.17 1 346 828645083.12 365677431.93
GM3 3328 11.22 0.21 1 566 1582438410.44 753897403.68
GM3 3200 10.79 0.25 1 608 1716805064.25 749409826.35
GM3 3195 10.77 0.25 1 653 1716965538.25 764033526.50
GM3 3072 10.35 0.29 1 666 1372675719.58 690541593.41
GM3 1664 5.62 1.06 1 3527 10355852703.92 9002370337.35
GM3 1536 5.19 1.18 1 4615 16807643428.84 15170422444.88
GM3 635 2.15 3.00 1 661 1420326409.50 885717959.34
