model output time z halo
GM2 3712 12.51 0.10 1
GM2 3584 12.08 0.13 1
GM2 3456 11.65 0.17 1
GM2 3328 11.22 0.21 1
GM2 3200 10.79 0.25 1
GM2 3195 10.77 0.25 1
GM2 3072 10.35 0.29 1
GM2 2944 9.92 0.34 1
GM2 2816 9.49 0.39 1
GM2 2688 9.06 0.44 1
GM2 2560 8.63 0.50 1
GM2 2554 8.61 0.50 1
GM2 2432 8.20 0.56 1
GM2 2304 7.77 0.62 1
GM2 2176 7.34 0.70 1
GM2 2048 6.91 0.77 1
GM2 1920 6.48 0.86 1
GM2 1792 6.05 0.96 1
GM2 1739 5.87 1.00 1
GM2 1664 5.62 1.06 1
GM2 1536 5.19 1.18 1
GM2 1408 4.76 1.32 1
GM2 1280 4.32 1.48 1
GM2 1152 3.89 1.67 1
GM2 1024 3.46 1.90 1
GM2 972 3.29 2.00 1
GM2 896 3.03 2.17 2
GM2 768 2.60 2.52 1
GM2 640 2.17 2.98 1
GM2 635 2.15 3.00 1
GM2 512 1.74 3.61 1
GM2 454 1.55 4.00 2
GM2 384 1.31 4.58 2
GM2 345 1.18 4.99 2
GM2 273 0.94 5.99 2
GM2 256 0.88 6.29 2
GM2 223 0.77 6.98 2
GM2 186 0.64 7.98 2
GM2noBHs 3712 12.51 0.10 1
GM2noBHs 3584 12.08 0.13 1
GM2noBHs 3456 11.65 0.17 1
GM2noBHs 3328 11.22 0.21 1
GM2noBHs 3200 10.79 0.25 1
GM2noBHs 3195 10.77 0.25 1
GM2noBHs 3072 10.35 0.29 1
GM2noBHs 2944 9.92 0.34 1
GM2noBHs 2816 9.49 0.39 1
GM2noBHs 2688 9.06 0.44 1
GM2noBHs 2560 8.63 0.50 1
GM2noBHs 2554 8.61 0.50 1
GM2noBHs 2432 8.20 0.56 1
GM2noBHs 2304 7.77 0.62 1
GM2noBHs 2176 7.34 0.70 1
GM2noBHs 2048 6.91 0.77 1
GM2noBHs 1920 6.48 0.86 1
GM2noBHs 1792 6.05 0.96 1
GM2noBHs 1739 5.87 1.00 1
GM2noBHs 1664 5.62 1.06 1
GM2noBHs 1536 5.19 1.18 1
GM2noBHs 1408 4.76 1.32 1
GM2noBHs 1280 4.32 1.48 1
GM2noBHs 1152 3.89 1.67 1
GM2noBHs 1024 3.46 1.90 1
GM2noBHs 972 3.29 2.00 1
GM2noBHs 896 3.03 2.17 1
GM2noBHs 768 2.60 2.52 2
GM2noBHs 640 2.17 2.98 2
GM2noBHs 635 2.15 3.00 2
GM2noBHs 512 1.74 3.61 2
GM2noBHs 454 1.55 4.00 1
GM2noBHs 384 1.31 4.58 1
GM2noBHs 345 1.18 4.99 1
GM2noBHs 273 0.94 5.99 1
GM2noBHs 256 0.88 6.29 1
GM2noBHs 223 0.77 6.98 1
GM2SI1 3952 13.32 0.03 1
GM2SI1 3936 13.26 0.04 1
GM2SI1 3920 13.21 0.04 1
GM2SI1 3904 13.15 0.05 1
GM2SI1 3888 13.10 0.05 1
GM2SI1 3872 13.05 0.05 1
GM2SI1 3856 12.99 0.06 1
GM2SI1 3840 12.94 0.06 1
GM2SI1 3824 12.89 0.07 1
GM2SI1 3808 12.83 0.07 1
GM2SI1 3792 12.78 0.07 1
GM2SI1 3776 12.72 0.08 1
GM2SI1 3760 12.67 0.08 1
GM2SI1 3744 12.62 0.09 1
GM2SI1 3728 12.56 0.09 1
GM2SI1 3712 12.51 0.10 1
GM2SI1 3696 12.45 0.10 1
GM2SI1 3680 12.40 0.10 1
GM2SI1 3664 12.35 0.11 1
GM2SI1 3648 12.29 0.11 1
GM2SI1 3632 12.24 0.12 1
GM2SI1 3616 12.19 0.12 1
GM2SI1 3600 12.13 0.13 1
GM2SI1 3584 12.08 0.13 1
GM2SI1 3568 12.02 0.14 1
GM2SI1 3552 11.97 0.14 1
GM2SI1 3536 11.92 0.14 1
GM2SI1 3520 11.86 0.15 1
GM2SI1 3504 11.81 0.15 1
GM2SI1 3488 11.75 0.16 1
GM2SI1 3472 11.70 0.16 1
GM2SI1 3456 11.65 0.17 1
GM2SI1 3440 11.59 0.17 1
GM2SI1 3424 11.54 0.18 1
GM2SI1 3408 11.49 0.18 1
GM2SI1 3392 11.43 0.19 1
GM2SI1 3376 11.38 0.19 1
GM2SI1 3360 11.32 0.20 1
GM2SI1 3344 11.27 0.20 1
GM2SI1 3328 11.22 0.21 1
GM2SI1 3312 11.16 0.21 1
GM2SI1 3296 11.11 0.22 1
GM2SI1 3280 11.05 0.22 1
GM2SI1 3264 11.00 0.23 1
