model iord timeinclumps nclumps
P0 31502 3.42 1
P0 31503 1.29 1
P0 31508 3.42 1
P0 31509 1.97 2
P0 31521 1.97 2
P0 31729 2.58 1
P0 31741 0.88 1
P0 34524 1.29 1
P0 34539 0.45 1
P0 34544 0.45 1
P0 34550 0.88 1
P0 38638 2.13 2
P0 38814 1.29 1
P0 38862 1.29 1
P0 42300 1.29 1
P0 42306 2.58 1
P0 50932 0.45 1
P0 50973 1.29 1
P0 51159 1.29 1
P0 51168 0.45 1
P0 51401 1.29 1
P0 51407 1.29 1
P0 54183 0.45 1
P0 54365 1.29 1
P0 54401 1.29 1
P0 54411 0.84 1
P0 54423 1.29 1
P0 54424 0.84 1
P0 54585 1.29 1
P0 54598 1.29 1
P0 54632 1.29 1
P0 54638 1.29 1
P0 54639 1.29 1
P0 54640 0.84 1
P0 54642 1.29 1
P0 54645 0.84 1
P0 54646 1.29 1
P0 54833 1.29 1
P0 54835 0.45 1
P0 55050 1.29 1
P0 57641 1.29 1
P0 60235 1.29 1
P0 60237 1.29 1
P0 60241 1.29 1
P0 60247 1.29 1
P0 67591 0.88 1
P0 67789 0.88 1
P0 67815 0.42 1
P0 67823 2.17 2
P0 70583 1.29 1
P0 70607 0.45 1
P0 70739 0.88 1
P0 70763 1.74 1
P0 70771 1.29 1
P0 70785 0.42 1
P0 70950 1.29 1
P0 70983 1.74 1
P0 70984 2.17 2
P0 70988 0.84 1
P0 71000 1.74 1
P0 71029 0.42 1
P0 71032 2.58 1
P0 71039 0.84 1
P0 71202 1.29 1
P0 71203 0.84 1
P0 71233 0.88 1
P0 71259 2.58 1
P0 73592 0.88 1
P0 73772 1.74 1
P0 73784 1.74 1
P0 73791 1.74 1
P0 73799 0.88 1
P0 73806 1.29 1
P0 73939 1.74 1
P0 73965 1.29 1
P0 73992 0.45 1
P0 74014 1.90 1
P0 74034 1.29 1
P0 74035 1.29 1
P0 74059 0.61 1
P0 74140 2.58 1
P0 74171 0.84 1
P0 74219 1.29 1
P0 74224 1.90 1
P0 74225 0.61 1
P0 74227 1.29 1
P0 74229 0.84 1
P0 74236 0.45 1
P0 74239 0.84 1
P0 74252 1.29 1
P0 74285 1.29 1
P0 74292 3.03 2
P0 74358 2.58 1
P0 74400 0.88 1
P0 74409 0.45 1
P0 74429 1.74 1
P0 74434 1.74 1
P0 74439 1.74 1
P0 74447 2.58 1
P0 74453 0.84 1
P0 74466 1.29 1
P0 74480 1.29 1
P0 74503 0.45 1
P0 74504 2.74 1
P0 74670 0.45 1
P0 74683 1.74 1
P0 74696 0.84 1
P0 74731 0.42 1
P0 77041 1.29 1
P0 77159 2.17 2
P0 77177 1.29 1
P0 77230 0.42 1
P0 77237 1.29 1
P0 77248 1.74 1
P0 77266 1.90 1
P0 77291 1.29 1
P0 77302 0.61 1
P0 77303 0.68 1
P0 77321 0.45 1
P0 77347 2.58 1
P0 77392 2.13 2
P0 77395 2.58 1
P0 77416 1.29 1
P0 77457 1.29 1
P0 77469 1.29 1
P0 77493 0.42 1
P0 77494 0.84 1
P0 77509 0.61 1
P0 77510 1.30 1
P0 77514 1.74 1
P0 77516 1.30 1
P0 77517 1.98 1
P0 77524 0.45 1
P0 77533 0.61 1
P0 77535 0.68 1
P0 77537 1.90 1
P0 77538 1.29 1
P0 77588 1.30 1
P0 77598 0.42 1
P0 77619 1.74 1
P0 77625 1.74 1
P0 77632 2.58 1
P0 77639 2.58 1
P0 77644 1.74 1
P0 77651 1.74 1
P0 77683 1.90 1
P0 77684 1.97 2
P0 77690 0.61 1
P0 77701 0.84 1
P0 77707 0.45 1
P0 77720 1.29 1
P0 77736 1.30 1
P0 77743 1.45 2
P0 77756 3.19 2
P0 77887 2.58 1
P0 77893 0.45 1
P0 77918 1.74 1
P0 77924 1.74 1
P0 77931 0.42 1
P0 77943 1.29 1
P0 77956 1.29 1
P0 77971 1.29 1
P0 78174 1.29 1
P0 78180 1.30 1
P0 78439 0.84 1
P0 78475 0.84 1
P0 78476 0.84 1
P0 78547 0.84 1
P0 78578 0.84 1
P0 78579 0.84 1
P0 78584 0.84 1
P0 78585 0.84 1
P0 78586 0.84 1
P0 78621 0.84 1
P0 78622 0.84 1
P0 80491 0.45 1
P0 80537 0.84 1
P0 80764 1.29 1
P0 80801 0.88 1
P0 80815 1.97 2
P0 80947 1.74 1
P0 80986 0.61 1
P0 80989 0.61 1
P0 80996 1.29 1
P0 80997 0.61 1
P0 81018 0.88 1
P0 81024 0.88 1
P0 81047 1.71 2
P0 81051 2.58 1
P0 81053 1.74 1
P0 81139 1.29 1
P0 81187 0.61 1
P0 81193 0.84 1
P0 81202 0.61 1
P0 81204 0.84 1
P0 81253 2.58 1
P0 81260 0.45 1
P0 81266 2.58 1
P0 81310 0.88 1
P0 81316 3.04 1
P0 81318 0.88 1
