model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
P0 635 28.88 433698562.75 44178175811.58 6080181049.52
P0 768 39.37 804016024.90 75379565891.19 11471678567.83
P0 972 56.43 1781158729.40 138736611928.02 19499419453.69
P0 1152 81.07 5825771557.07 289025262455.50 39303956386.00
P0 1536 117.53 12808996192.83 475506924715.12 69472203568.51
P0 1739 133.21 15889353980.80 530690843019.40 76335541145.50
P0 1920 147.15 17437688864.89 574673187622.04 84035422920.35
P0 2304 180.88 23269319938.42 703219138284.44 108634747454.72
P0 2554 198.29 24166615251.72 730610188052.19 111835864396.88
P0 2688 207.05 25063184448.51 736603424068.54 111936413437.66
P0 3072 234.20 34441323076.03 769778003095.59 109006536367.65
P0 3195 243.66 39093898328.12 783394351519.69 108019036230.76
P0 3456 266.48 49668529964.13 836734681338.76 107603567246.94
