model output rvir[kpc] smass[Msol] dmass[Msol] gmass[Msol]
P0noBHs 186 6.75 41545215.29 6483028607.19 809200634.43
P0noBHs 223 8.20 67898055.33 8010626464.61 1142889342.86
P0noBHs 256 9.82 114370732.75 10387493774.18 1603966843.92
P0noBHs 273 10.80 151088336.40 12240237237.92 1785672354.27
P0noBHs 345 14.45 361943071.01 18758455382.78 2306184601.19
P0noBHs 384 15.73 447772894.00 19376274948.87 2514351987.85
P0noBHs 454 18.04 658798249.12 20592888843.18 2903801722.72
P0noBHs 512 20.17 889306596.05 22611995852.96 3037705663.59
P0noBHs 635 28.94 1571025902.53 44204067300.68 5197117402.54
P0noBHs 640 29.29 1606587435.88 45157617943.77 5321811558.46
P0noBHs 768 39.23 3279317198.37 74268806703.73 9148223417.95
P0noBHs 896 51.74 5830182443.45 124340371795.92 15315805344.96
P0noBHs 972 56.70 7200822098.85 137873609973.36 17019807252.24
P0noBHs 1024 64.84 13055945891.01 184373580037.54 20463217748.53
P0noBHs 1152 81.97 23768257728.38 291149079797.38 30633797735.14
P0noBHs 1280 93.82 29281825109.40 349276617234.23 37914386214.89
P0noBHs 1408 105.17 33623865885.03 403620278040.97 43598424386.56
P0noBHs 1536 117.64 39667157218.92 467367699084.64 52157187718.23
P0noBHs 1664 128.41 44181847101.78 513895277210.68 55041341278.82
P0noBHs 1739 133.62 47256731596.96 525562754658.86 55992593720.05
P0noBHs 1792 137.83 48960355436.75 540706843993.41 56329764296.82
P0noBHs 1920 147.27 52464838821.75 567768599798.63 57936086416.43
P0noBHs 2048 158.60 56870876596.24 613614559420.97 63493269108.56
P0noBHs 2176 170.16 58779579016.85 660519924393.01 72342670430.85
P0noBHs 2304 180.38 58157915350.38 693451180641.25 76010172022.44
P0noBHs 2432 189.97 63915460495.75 713099959932.61 77538253335.59
P0noBHs 2554 198.62 65401249885.29 726582988644.87 79477656593.92
P0noBHs 2560 199.07 65475183684.11 726529059963.15 79452433969.68
P0noBHs 2688 207.12 66979423680.23 728762022089.68 78297721160.10
P0noBHs 2816 214.94 69653350866.03 727848238485.30 76808144441.17
P0noBHs 2944 224.38 71957800611.69 743498284702.67 76734751896.49
P0noBHs 3072 234.07 73659421729.69 760234486040.26 77164028960.83
P0noBHs 3195 243.11 75335556957.76 772204507679.34 77515905990.75
P0noBHs 3200 243.51 75411298284.82 772728774571.95 77529004087.81
P0noBHs 3328 254.63 77270103273.93 799290152313.19 80004480207.39
P0noBHs 3456 265.52 79000943581.61 822065936863.10 82027926510.99
P0noBHs 3584 276.11 80693512138.76 839406225264.13 83502505045.07
P0noBHs 3712 285.87 82274308889.85 845654370858.29 84641147010.52
P0noBHs 3840 295.48 83949257616.41 849914736714.43 85675636727.76
P0noBHs 3968 308.29 85628610702.37 883516453788.24 87567378604.54
