model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
P0noBHs 1.18 4.99 0.22 0.32 415177.36 0.46 15.14 -67.39
P0noBHs 1.31 4.58 0.49 0.35 764662.17 0.68 15.75 -31.47
P0noBHs 1.55 4.00 0.47 0.42 763471.41 0.65 16.73 -34.52
P0noBHs 1.74 3.61 0.71 0.47 918370.22 0.68 17.73 -24.54
P0noBHs 2.15 3.00 0.32 0.58 1029960.62 0.67 21.32 -64.57
P0noBHs 2.17 2.98 0.36 0.59 1062132.38 0.69 21.08 -57.91
P0noBHs 2.60 2.52 0.32 0.71 2359981.35 0.74 27.06 -82.65
P0noBHs 3.03 2.17 0.47 0.82 2642619.67 0.81 30.95 -64.79
P0noBHs 3.29 2.00 0.94 0.90 2307005.96 0.86 31.25 -32.45
P0noBHs 3.46 1.90 1.08 0.95 1928962.43 0.89 33.93 -30.59
P0noBHs 3.89 1.67 0.82 1.07 4153288.12 0.91 37.32 -44.39
P0noBHs 4.32 1.48 1.05 1.19 2108411.62 0.87 45.57 -42.39
P0noBHs 4.76 1.32 0.60 1.31 4619755.90 0.82 46.66 -76.54
P0noBHs 5.19 1.18 17.60 1.44 1772485.78 0.88 55.63 3.09
P0noBHs 5.87 1.00 2.61 1.65 967577.69 0.67 79.29 -29.74
P0noBHs 6.05 0.96 0.71 1.70 1010999.06 0.73 72.09 -99.16
P0noBHs 6.48 0.86 1.38 1.83 3764624.95 0.98 59.53 42.24
P0noBHs 6.91 0.77 1.80 1.97 1994951.21 0.92 64.83 -35.18
P0noBHs 7.77 0.62 2.82 2.25 7146458.73 0.95 49.27 -17.05
P0noBHs 8.20 0.56 7.13 2.39 3740062.85 0.90 69.01 9.47
P0noBHs 8.61 0.50 17.60 2.53 1393805.28 0.73 121.01 6.72
P0noBHs 8.63 0.50 449.66 2.54 1371824.25 0.72 121.32 0.26
P0noBHs 9.49 0.39 1.02 2.85 1145268.15 0.71 99.64 -95.42
P0noBHs 10.35 0.29 0.84 3.17 1090174.06 0.79 86.56 -100.55
P0noBHs 10.79 0.25 0.53 3.34 1006950.81 0.75 72.23 -134.10
P0noBHs 11.22 0.21 0.46 3.51 1521831.85 0.90 53.96 -115.08
P0noBHs 12.08 0.13 0.38 3.87 2582382.70 0.80 81.93 -210.20
P0noBHs 12.51 0.10 2.45 4.06 5096141.86 1.14 40.62 16.23
