model t[Gyr] z migration_time[Gyr] freefall[Gyr] meanmass[Msol] meansize[kpc] avgr[kpc] avgvr[kms^-1]
P0noBHs 1.18 4.99 0.27 0.59 415177.36 0.46 15.14 -67.39
P0noBHs 1.31 4.58 0.11 0.62 764662.17 0.68 15.75 -31.47
P0noBHs 1.55 4.00 0.37 0.66 763471.41 0.65 16.73 -34.52
P0noBHs 1.74 3.61 2.47 0.70 918370.22 0.68 17.73 -24.54
P0noBHs 2.15 3.00 0.29 0.77 1029960.62 0.67 21.32 -64.57
P0noBHs 2.17 2.98 0.18 0.75 1062132.38 0.69 21.08 -57.91
P0noBHs 2.60 2.52 0.37 0.87 2359981.35 0.74 27.06 -82.65
P0noBHs 3.03 2.17 0.00 0.85 2642619.67 0.81 30.95 -64.79
P0noBHs 3.29 2.00 0.57 0.84 2307005.96 0.86 31.25 -32.45
P0noBHs 3.46 1.90 inf 0.91 1928962.43 0.89 33.93 -30.59
P0noBHs 3.89 1.67 0.05 0.75 4153288.12 0.91 37.32 -44.39
P0noBHs 4.32 1.48 0.89 0.97 2108411.62 0.87 45.57 -42.39
