model output time z halo Nclumps cold_cgm_mass[Msol] cold_clump_mass[Msol]
P0noBHs 3712 12.51 0.10 1 231 1130813603.12 1080153949.91
P0noBHs 3584 12.08 0.13 1 443 1249840989.21 1053341267.45
P0noBHs 3456 11.65 0.17 1 425 1277952405.96 800714533.19
P0noBHs 3328 11.22 0.21 1 361 1131820191.22 768212882.46
P0noBHs 3200 10.79 0.25 1 246 347718552.27 243974658.51
P0noBHs 3195 10.77 0.25 1 266 365884474.86 256540276.32
P0noBHs 3072 10.35 0.29 1 417 689282808.60 439153886.61
P0noBHs 2944 9.92 0.34 1 457 1041903230.32 640715690.28
P0noBHs 2816 9.49 0.39 1 776 1668307909.96 830394284.78
P0noBHs 2688 9.06 0.44 1 1502 2790743409.96 1747824459.06
P0noBHs 2560 8.63 0.50 1 1996 6088053146.62 5203620663.39
P0noBHs 2554 8.61 0.50 1 2026 6179796090.98 5313149245.84
P0noBHs 2432 8.20 0.56 1 1525 8762939819.21 8328696534.84
P0noBHs 2304 7.77 0.62 1 1240 8043601112.92 7703109714.88
P0noBHs 2176 7.34 0.70 1 2263 9049900697.49 8282302606.43
P0noBHs 2048 6.91 0.77 1 1766 6561401451.04 5722971810.16
P0noBHs 1920 6.48 0.86 1 1053 4179940086.58 3577780996.26
P0noBHs 1792 6.05 0.96 1 1640 6508000531.34 5560059037.66
P0noBHs 1739 5.87 1.00 1 2163 7185114658.36 6052093072.31
P0noBHs 1664 5.62 1.06 1 1790 5231210037.34 4484816986.75
P0noBHs 1536 5.19 1.18 1 2275 11538751206.11 10762107042.45
P0noBHs 1408 4.76 1.32 1 1571 7073482682.58 6288622076.08
P0noBHs 1280 4.32 1.48 1 2000 7728760251.16 6653502690.23
P0noBHs 1152 3.89 1.67 1 1282 5306654831.39 4719070612.99
P0noBHs 1024 3.46 1.90 1 1546 5577348437.79 4834858812.90
