model z clump.grp clump_mass
h148_6144 0.17 2 47719313.67
h148_6144 0.17 3 4110111294.33
h148_6144 0.17 4 184503.94
h148_6144 0.17 5 5664966.30
h148_6144 0.17 6 112575.64
h148_6144 0.17 7 20799.68
h148_6144 0.17 8 103594.75
h148_6144 0.17 9 440738.00
h148_6144 0.17 10 68118.63
h148_6144 0.17 11 16044.31
h148_6144 0.17 12 92236.83
h148_6144 0.17 13 48083.45
h148_6144 0.17 14 67109.00
h148_6144 0.17 15 5579.30
h148_6144 0.17 16 45979.25
h148_6144 0.17 17 90776.12
h148_6144 0.17 18 100955.30
h148_6144 0.17 19 20027.12
h148_6144 0.17 20 700439.24
h148_6144 0.17 21 10069301.07
h148_6144 0.17 22 59014.50
h148_6144 0.17 23 1939829.58
h148_6144 0.17 24 29850.83
h148_6144 0.17 25 13255.30
h148_6144 0.17 26 213708.93
h148_6144 0.17 27 9941.45
h148_6144 0.17 28 16569.09
h148_6144 0.17 29 59932.35
h148_6144 0.17 30 13255.27
h148_6144 0.17 31 164072.77
h148_6144 0.17 32 32847.16
h148_6144 0.17 33 1187668.99
h148_6144 0.17 34 403116.48
h148_6144 0.17 35 40988.75
h148_6144 0.17 36 33140.74
h148_6144 0.17 37 16577.23
h148_6144 0.17 38 23196.72
h148_6144 0.17 39 19882.90
h148_6144 0.17 40 6627.63
h148_6144 0.17 41 9941.45
h148_6144 0.17 42 49714.65
h148_6144 0.17 43 43250.15
h148_6144 0.17 44 34810.49
h148_6144 0.17 45 65252.82
h148_6144 0.17 46 40573.09
h148_6144 0.17 47 11182.74
h148_6144 0.17 48 14156.75
h148_6144 0.17 49 9952.62
h148_6144 0.17 50 19883.08
h148_6144 0.17 51 18332.01
h148_6144 0.17 52 79237.13
h148_6144 0.17 53 23197.59
h148_6144 0.17 54 83628.26
h148_6144 0.17 55 72975.42
h148_6144 0.17 56 38056.41
h148_6144 0.17 57 20732.73
h148_6144 0.17 58 95098.40
h148_6144 0.17 59 27398.68
h148_6144 0.17 60 62303.22
h148_6144 0.17 61 74272.68
h148_6144 0.17 62 98044.95
h148_6144 0.17 63 50581.31
h148_6144 0.17 64 32521.92
h148_6144 0.17 65 56483.88
h148_6144 0.17 66 82731.73
h148_6144 0.17 67 122716.38
h148_6144 0.17 68 73208.29
h148_6144 0.17 69 46497.70
h148_6144 0.17 70 19903.41
h148_6144 0.17 71 75178.66
h148_6144 0.17 72 52831.16
h148_6144 0.17 73 75497.53
h148_6144 0.17 74 16962.61
h148_6144 0.17 75 26241.31
h148_6144 0.17 76 73272.90
h148_6144 0.17 77 31310.08
h148_6144 0.17 78 3500.96
h148_6144 0.17 79 50126.27
h148_6144 0.17 80 54630.34
h148_6144 0.17 81 79084.77
h148_6144 0.17 82 19900.31
h148_6144 0.17 83 288288.30
h148_6144 0.17 84 82780.42
h148_6144 0.17 85 30878.98
h148_6144 0.17 86 159249.68
h148_6144 0.17 87 456537.82
h148_6144 0.17 88 444087.73
h148_6144 0.17 89 72960.02
h148_6144 0.17 90 135866.57
h148_6144 0.17 91 78813.29
h148_6144 0.17 92 83947.78
h148_6144 0.17 93 49707.26
h148_6144 0.17 94 23790.04
h148_6144 0.17 95 29824.40
h148_6144 0.17 96 24262.26
h148_6144 0.17 97 45747.34
h148_6144 0.17 98 52154.03
h148_6144 0.17 99 56944.89
h148_6144 0.17 100 16602.01
h148_6144 0.17 101 23264.10
h148_6144 0.17 102 43950.56
h148_6144 0.17 103 43118.98
h148_6144 0.17 104 16059.95
h148_6144 0.17 105 16569.66
h148_6144 0.17 106 6665.96
h148_6144 0.17 107 47306.96
h148_6144 0.17 108 5348.37
h148_6144 0.17 109 6633.72
h148_6144 0.17 110 2277.46
h148_6144 0.17 111 6953.44
h148_6144 0.17 112 19203.70
h148_6144 0.17 113 81346.42
h148_6144 0.17 114 828116.02
h148_6144 0.17 115 80824.18
h148_6144 0.17 116 53238.50
h148_6144 0.17 117 13404.86
h148_6144 0.17 118 67054.06
h148_6144 0.17 119 12801.01
h148_6144 0.17 120 28516.47
h148_6144 0.17 121 95693.11
h148_6144 0.17 122 25855.70
h148_6144 0.17 123 8438.29
h148_6144 0.17 124 16595.29
h148_6144 0.17 125 6631.97
h148_6144 0.17 126 12566.67
h148_6144 0.17 127 47742.42
h148_6144 0.17 128 30217.59
h148_6144 0.17 129 18408.97
h148_6144 0.17 130 26904.57
h148_6144 0.17 131 16329.36
h148_6144 0.17 132 12472.12
h148_6144 0.17 133 14725.27
h148_6144 0.17 134 35671.74
h148_6144 0.17 135 37593.31
h148_6144 0.17 136 43569.42
h148_6144 0.17 137 7297.21
h148_6144 0.17 138 6630.85
h148_6144 0.17 139 6638.17
h148_6144 0.17 140 139371.67
h148_6144 0.17 141 50163.90
h148_6144 0.17 142 23985.06
h148_6144 0.17 143 15552.41
h148_6144 0.17 144 58626.78
h148_6144 0.17 145 74871.44
h148_6144 0.17 146 12599.76
h148_6144 0.17 147 5988.93
h148_6144 0.17 148 68118.79
h148_6144 0.17 149 390726.83
h148_6144 0.17 150 32246.00
h148_6144 0.17 151 72394.64
h148_6144 0.17 152 17238.41
h148_6144 0.17 153 287043.64
h148_6144 0.17 154 80632.40
h148_6144 0.17 155 62807.05
h148_6144 0.17 156 58122.73
h148_6144 0.17 157 11173.94
h148_6144 0.17 158 76218.00
h148_6144 0.17 159 10507.54
h148_6144 0.17 160 50718.11
h148_6144 0.17 161 19882.91
h148_6144 0.17 162 74204.93
h148_6144 0.17 163 29824.42
h148_6144 0.17 164 48071.26
h148_6144 0.17 165 27972140.16
h148_6144 0.17 166 308238.05
h148_6144 0.17 167 45061.83
h148_6144 0.17 168 26111.40
h148_6144 0.17 169 41627.71
h148_6144 0.17 170 66490.29
h148_6144 0.17 171 8754.16
h148_6144 0.17 172 83174.26
h148_6144 0.17 173 275330.15
h148_6144 0.17 174 7284.37
h148_6144 0.17 175 53963.32
h148_6144 0.17 176 31379.52
h148_6144 0.17 177 13499.90
h148_6144 0.17 178 14053.99
h148_6144 0.17 179 16230.55
h148_6144 0.17 180 7001.13
h148_6144 0.17 181 66216.16
h148_6144 0.17 182 68320.78
h148_6144 0.17 183 6784.46
h148_6144 0.17 184 7176.73
h148_6144 0.17 185 36750.98
h148_6144 0.17 186 6628.57
h148_6144 0.17 187 8213.27
h148_6144 0.17 188 9179.16
h148_6144 0.17 189 23177.95
h148_6144 0.17 190 175460.89
h148_6144 0.17 191 111695.29
h148_6144 0.17 192 74694.19
h148_6144 0.17 193 128422.56
h148_6144 0.17 194 755751.96
h148_6144 0.17 195 33305.18
h148_6144 0.17 196 47216.89
h148_6144 0.17 197 17075.51
h148_6144 0.17 198 56403.57
h148_6144 0.17 199 19292.36
h148_6144 0.17 200 59119.16
h148_6144 0.17 201 30385.39
h148_6144 0.17 202 6340.20
h148_6144 0.17 203 10677.44
h148_6144 0.17 204 9458.09
h148_6144 0.17 205 70141.93
h148_6144 0.17 206 24740.22
h148_6144 0.17 207 45025.73
h148_6144 0.17 208 16998.78
h148_6144 0.17 209 7572.53
h148_6144 0.17 210 95060.60
h148_6144 0.17 211 127599.68
h148_6144 0.17 212 37511.63
h148_6144 0.17 213 57331.15
h148_6144 0.17 214 102378.38
h148_6144 0.17 215 83148.43
h148_6144 0.17 216 64923.55
h148_6144 0.17 217 46309.56
h148_6144 0.17 218 62023.92
h148_6144 0.17 219 11100.32
h148_6144 0.17 220 13483.42
h148_6144 0.17 221 18261.12
h148_6144 0.17 222 64602.24
h148_6144 0.17 223 50787.95
h148_6144 0.17 224 50038.58
h148_6144 0.17 225 60336.81
h148_6144 0.17 226 44171.61
h148_6144 0.17 227 9369.28
h148_6144 0.17 228 53902.84
h148_6144 0.17 229 47350.27
h148_6144 0.17 230 11224.39
h148_6144 0.17 231 8638.32
h148_6144 0.17 232 122571.14
h148_6144 0.17 233 27169.82
h148_6144 0.17 234 6389.35
h148_6144 0.17 235 10206.66
h148_6144 0.17 236 9942.35
h148_6144 0.17 237 9300.25
h148_6144 0.17 238 16884.87
h148_6144 0.17 239 27901.17
h148_6144 0.17 240 6859.44
h148_6144 0.17 241 150929.45
h148_6144 0.17 242 9163.42
h148_6144 0.17 243 7436.94
h148_6144 0.17 244 138176.86
h148_6144 0.17 245 91151.67
h148_6144 0.17 246 12499.48
h148_6144 0.17 247 8619473.89
h148_6144 0.17 248 323191.79
h148_6144 0.17 249 59199.57
h148_6144 0.17 250 9941.45
h148_6144 0.17 251 49232.88
h148_6144 0.17 252 394355.89
h148_6144 0.17 253 39765.81
h148_6144 0.17 254 196957.19
h148_6144 0.17 255 173793.77
h148_6144 0.17 256 69592.47
h148_6144 0.17 257 589876.26
h148_6144 0.17 258 371162.48
h148_6144 0.17 259 69590.16
h148_6144 0.17 260 64620.23
h148_6144 0.17 261 53021.08
h148_6144 0.17 262 85752.65
h148_6144 0.17 263 16576.18
h148_6144 0.17 264 9990.69
h148_6144 0.17 265 6669.79
h148_6144 0.17 266 52399.89
h148_6144 0.17 267 46393.44
h148_6144 0.17 268 75990.33
h148_6144 0.17 269 26692.82
h148_6144 0.17 270 152435.62
h148_6144 0.17 271 26632.80
h148_6144 0.17 272 26891.97
h148_6144 0.17 273 31601.98
h148_6144 0.17 274 9983.36
h148_6144 0.17 275 9941.45
h148_6144 0.17 276 79686.48
h148_6144 0.17 277 9941.50
h148_6144 0.17 278 258753.06
h148_6144 0.17 279 25641.39
h148_6144 0.17 280 13255.27
h148_6144 0.17 281 46394.15
h148_6144 0.17 282 341512.99
h148_6144 0.17 283 13255.28
h148_6144 0.17 284 33138.22
h148_6144 0.17 285 6627.63
h148_6144 0.17 286 21749.05
h148_6144 0.17 287 10023.35
h148_6144 0.17 288 13255.27
h148_6144 0.17 289 13255.27
h148_6144 0.17 290 23196.72
h148_6144 0.17 291 10043.54
h148_6144 0.17 292 119540.93
h148_6144 0.17 293 6627.63
h148_6144 0.17 294 136249.17
h148_6144 0.17 295 6664.21
h148_6144 0.17 296 6668.32
h148_6144 0.17 297 9941.46
h148_6144 0.17 298 13296.93
h148_6144 0.17 299 13255.35
h148_6144 0.17 300 26517.79
h148_6144 0.17 301 16617.51
h148_6144 0.17 302 217076.09
h148_6144 0.17 303 53028.16
h148_6144 0.17 304 9941.45
h148_6144 0.17 305 19882.92
h148_6144 0.17 306 129292.04
h148_6144 0.17 307 6627.66
h148_6144 0.17 308 43082.39
h148_6144 0.17 309 10163.24
h148_6144 0.17 310 6627.63
h148_6144 0.17 311 19883.26
h148_6144 0.17 312 69634.95
h148_6144 0.17 313 9941.47
h148_6144 0.17 314 13376.62
h148_6144 0.17 315 13270.81
h148_6144 0.17 316 13255.30
h148_6144 0.17 317 2551640.78
h148_6144 0.17 318 46393.44
h148_6144 0.17 319 9941.45
h148_6144 0.17 320 6627.63
h148_6144 0.17 321 2081078.25
h148_6144 0.17 322 86159.27
h148_6144 0.17 323 112669.79
h148_6144 0.17 324 6627.63
h148_6144 0.17 325 1335739.86
h148_6144 0.17 326 9941.46
h148_6144 0.17 327 16569.09
h148_6144 0.17 328 68409.57
h148_6144 0.17 329 50078.42
h148_6144 0.17 330 313368.90
h148_6144 0.17 331 148790.48
h148_6144 0.17 332 63879.48
h148_6144 0.17 333 60795.13
h148_6144 0.17 334 41877.87
h148_6144 0.17 335 48277.78
h148_6144 0.17 336 33832.00
h148_6144 0.17 337 26749.97
h148_6144 0.17 338 35898.12
h148_6144 0.17 339 38983.79
h148_6144 0.17 340 26692.26
h148_6144 0.17 341 23149.13
h148_6144 0.17 342 65059.09
h148_6144 0.17 343 62266.67
h148_6144 0.17 344 71044.44
h148_6144 0.17 345 72904.26
h148_6144 0.17 346 53402.08
